event_id,event_date,group,event_type,event_name,source_url,verified_on,date_basis,notes,source_url_2
rtx30,2020-09-01,NVIDIA hardware,gpu_generation,RTX 30 series,https://nvidianews.nvidia.com/news/nvidia-delivers-greatest-ever-generational-leap-in-performance-with-geforce-rtx-30-series-gpus,2026-09-20,Official announcement publication date (day-level),"Hardware context, not an untreated control; includes a GeForce NOW promotional bundle.",
priority,2021-03-18,GFN,membership,Priority membership,https://blogs.nvidia.com/blog/geforce-now-priority/,2026-09-20,Official announcement publication date (day-level),New membership pricing plus Founders-for-Life and streaming-client updates.,
gfn3080,2021-10-21,GFN,cloud_gpu,RTX 3080 cloud tier,https://nvidianews.nvidia.com/news/nvidia-introduces-the-next-generation-in-cloud-gaming,2026-09-20,Official announcement publication date (day-level),Announcement/preorders; regional activation followed in November/December.,
rtx40,2022-09-20,NVIDIA hardware,gpu_generation,RTX 40 series,https://nvidianews.nvidia.com/news/nvidia-delivers-quantum-leap-in-performance-introduces-new-era-of-neural-rendering-with-geforce-rtx-40-series,2026-09-20,Official announcement publication date (day-level),"Hardware context, not an untreated control; broader GeForce Beyond announcements.",
ultimate,2023-01-03,GFN,cloud_gpu,Ultimate / RTX 4080,https://nvidianews.nvidia.com/news/nvidia-brings-rtx-4080-to-geforce-now,2026-09-20,Official announcement publication date (day-level),CES announcement bundle; not the later server-rollout date.,
daypasses,2024-01-08,GFN,membership_features,Day Passes + G-SYNC (CES),https://blogs.nvidia.com/blog/ces-2024-geforce-now-activision-blizzard-day-passes-g-sync/,2026-09-20,Official announcement publication date (day-level),"Announcement, not later Day Pass availability; games and streaming updates bundled.",
performance,2024-11-07,GFN,membership_policy,Performance + playtime policy,https://blogs.nvidia.com/blog/geforce-now-thursday-performance-membership/,2026-09-20,Official announcement publication date (day-level),Performance upgrade and future 100-hour policy announced together; cannot isolate either.,
ces2025,2025-01-06,GFN,platform_bundle,Steam Deck / VR + RTX 50 (CES),https://blogs.nvidia.com/blog/geforce-now-ces-2025/,2026-09-20,Official announcement publication date (day-level),GFN platform expansion and RTX 50 hardware announced the same date; counted once.,https://nvidianews.nvidia.com/news/nvidia-blackwell-geforce-rtx-50-series-opens-new-world-of-ai-computer-graphics
gfn5080,2025-08-18,GFN,cloud_gpu,RTX 5080 + Install-to-Play,https://nvidianews.nvidia.com/news/nvidia-blackwell-architecture-comes-to-geforce-now,2026-09-20,Official announcement publication date (day-level),Original announcement; not August 21 recap or September 10 rollout.,
ces2026,2026-01-05,GFN,platform_bundle,Linux / Fire TV (CES),https://blogs.nvidia.com/blog/geforce-now-ces-2026/,2026-09-20,Official announcement publication date (day-level),CES bundle; also near the January 2026 transition in previously announced playtime limits.,
gamescom2026,2026-08-25,GFN,feature_platform_bundle,DLSS / device expansion (Gamescom),https://www.nvidia.com/en-us/geforce/news/gamescom-2026-nvidia-geforce-rtx-dlss-4-5-announcements/,2026-09-20,Official announcement publication date (day-level),"Original Gamescom publication, not August 27 recap; nearby Linux/Firefox updates are confounders.",
