event_id,event_date,group,event_type,event_name,source_url,verified_on,date_basis,notes,source_url_2,pre_reviews,pre_sentiment,pre_rating,pre_negative_share,pre_one_star_share,post_reviews,post_sentiment,post_rating,post_negative_share,post_one_star_share,delta_sentiment,delta_rating,delta_negative_share,delta_one_star_share,volume_ratio,full_window,enough_reviews,overlaps_catalogued_window,eligible,n_placebo_dates,placebo_equal_or_larger_pct
rtx30,2020-09-01,NVIDIA hardware,gpu_generation,RTX 30 series,https://nvidianews.nvidia.com/news/nvidia-delivers-greatest-ever-generational-leap-in-performance-with-geforce-rtx-30-series-gpus,2026-09-20,Official announcement publication date (day-level),"Hardware context, not an untreated control; includes a GeForce NOW promotional bundle.",,61,0.3678491803278689,3.8852459016393444,0.14754098360655737,0.14754098360655737,73,0.30757808219178073,3.5342465753424657,0.1780821917808219,0.2465753424657534,-0.060271098136088164,-0.3509993262968787,0.030541208174264534,0.09903435885919604,1.1967213114754098,True,True,False,True,28,64.28571428571429
priority,2021-03-18,GFN,membership,Priority membership,https://blogs.nvidia.com/blog/geforce-now-priority/,2026-09-20,Official announcement publication date (day-level),New membership pricing plus Founders-for-Life and streaming-client updates.,,48,0.24755625,3.5625,0.125,0.2708333333333333,74,0.32700270270270265,3.364864864864865,0.17567567567567569,0.28378378378378377,0.07944645270270265,-0.1976351351351351,0.050675675675675685,0.012950450450450457,1.5416666666666667,True,True,False,True,42,47.61904761904761
gfn3080,2021-10-21,GFN,cloud_gpu,RTX 3080 cloud tier,https://nvidianews.nvidia.com/news/nvidia-introduces-the-next-generation-in-cloud-gaming,2026-09-20,Official announcement publication date (day-level),Announcement/preorders; regional activation followed in November/December.,,50,0.192544,3.38,0.2,0.26,40,0.326675,3.15,0.175,0.35,0.134131,-0.22999999999999998,-0.025000000000000022,0.08999999999999997,0.8,True,True,False,True,44,13.636363636363635
rtx40,2022-09-20,NVIDIA hardware,gpu_generation,RTX 40 series,https://nvidianews.nvidia.com/news/nvidia-delivers-quantum-leap-in-performance-introduces-new-era-of-neural-rendering-with-geforce-rtx-40-series,2026-09-20,Official announcement publication date (day-level),"Hardware context, not an untreated control; broader GeForce Beyond announcements.",,85,0.2603094117647058,3.2705882352941176,0.21176470588235294,0.29411764705882354,93,0.22166344086021506,2.967741935483871,0.26881720430107525,0.34408602150537637,-0.038645970904490734,-0.3028462998102466,0.057052498418722314,0.04996837444655283,1.0941176470588236,True,True,False,True,35,74.28571428571429
ultimate,2023-01-03,GFN,cloud_gpu,Ultimate / RTX 4080,https://nvidianews.nvidia.com/news/nvidia-brings-rtx-4080-to-geforce-now,2026-09-20,Official announcement publication date (day-level),CES announcement bundle; not the later server-rollout date.,,214,0.09679999999999998,2.5093457943925235,0.3317757009345794,0.42990654205607476,148,0.16340337837837834,2.2972972972972974,0.2635135135135135,0.5472972972972973,0.06660337837837836,-0.2120484970952261,-0.06826218742106593,0.1173907552412225,0.6915887850467289,True,True,False,True,35,45.714285714285715
daypasses,2024-01-08,GFN,membership_features,Day Passes + G-SYNC (CES),https://blogs.nvidia.com/blog/ces-2024-geforce-now-activision-blizzard-day-passes-g-sync/,2026-09-20,Official announcement publication date (day-level),"Announcement, not later Day Pass availability; games and streaming updates bundled.",,98,0.09563265306122447,2.204081632653061,0.2857142857142857,0.5204081632653061,71,0.08691971830985916,2.3380281690140845,0.352112676056338,0.5352112676056338,-0.008712934751365309,0.1339465363610235,0.0663983903420523,0.01480310434032761,0.7244897959183674,True,True,False,True,44,93.18181818181817
performance,2024-11-07,GFN,membership_policy,Performance + playtime policy,https://blogs.nvidia.com/blog/geforce-now-thursday-performance-membership/,2026-09-20,Official announcement publication date (day-level),Performance upgrade and future 100-hour policy announced together; cannot isolate either.,,68,0.1994014705882353,2.823529411764706,0.25,0.47058823529411764,77,0.15728051948051947,2.4285714285714284,0.2727272727272727,0.5974025974025974,-0.042120951107715826,-0.3949579831932777,0.022727272727272707,0.12681436210847974,1.1323529411764706,True,True,False,True,36,55.55555555555556
ces2025,2025-01-06,GFN,platform_bundle,Steam Deck / VR + RTX 50 (CES),https://blogs.nvidia.com/blog/geforce-now-ces-2025/,2026-09-20,Official announcement publication date (day-level),GFN platform expansion and RTX 50 hardware announced the same date; counted once.,https://nvidianews.nvidia.com/news/nvidia-blackwell-geforce-rtx-50-series-opens-new-world-of-ai-computer-graphics,85,0.18502352941176461,2.6470588235294117,0.23529411764705882,0.5058823529411764,65,0.12379999999999998,2.5846153846153848,0.3230769230769231,0.46153846153846156,-0.061223529411764635,-0.06244343891402693,0.08778280542986427,-0.044343891402714886,0.7647058823529411,True,True,False,True,36,44.44444444444444
gfn5080,2025-08-18,GFN,cloud_gpu,RTX 5080 + Install-to-Play,https://nvidianews.nvidia.com/news/nvidia-blackwell-architecture-comes-to-geforce-now,2026-09-20,Official announcement publication date (day-level),Original announcement; not August 21 recap or September 10 rollout.,,50,0.200944,3.26,0.3,0.32,35,0.24844857142857138,2.742857142857143,0.2571428571428571,0.45714285714285713,0.04750457142857137,-0.5171428571428569,-0.04285714285714287,0.13714285714285712,0.7,True,True,False,True,35,57.14285714285714
ces2026,2026-01-05,GFN,platform_bundle,Linux / Fire TV (CES),https://blogs.nvidia.com/blog/geforce-now-ces-2026/,2026-09-20,Official announcement publication date (day-level),CES bundle; also near the January 2026 transition in previously announced playtime limits.,,60,0.07855666666666666,2.4,0.36666666666666664,0.5166666666666667,42,0.1536857142857143,2.3095238095238093,0.35714285714285715,0.5238095238095238,0.07512904761904762,-0.0904761904761906,-0.00952380952380949,0.0071428571428571175,0.7,True,True,False,True,35,42.857142857142854
